date,lastSyncTime,steps,distance,runDistance,calories
2019-05-22,1558769919,11565,8672,229,306
2019-05-23,1558769938,12793,9794,396,350
2019-05-24,1558769921,6549,5006,242,185
2019-05-25,1558901345,18817,14242,457,496
2019-05-26,1559541709,7925,6094,100,214
2019-05-27,1559541712,9151,7031,383,253
2019-05-28,1559541711,10063,7691,233,281
2019-05-29,1559541707,10571,8044,301,281
2019-05-30,1559541717,18721,13800,262,466
2019-05-31,1559541716,25018,18378,448,615
2019-06-01,1559541718,25418,19108,166,650
2019-06-02,1559541710,18796,13975,244,478
2019-06-03,1559917659,10946,8500,300,313
2019-06-04,1559917663,12600,9541,259,335
2019-06-05,1559917668,10938,8462,209,312
2019-06-06,1559917661,7375,5522,346,197
2019-06-07,1560067102,9722,7709,144,288
2019-06-08,1560067103,13451,10202,361,357
2019-06-09,1560536933,17646,12819,313,438
2019-06-10,1560536936,7700,5878,431,215
2019-06-11,1560536934,16543,12571,225,448
2019-06-12,1560536935,9806,7581,244,281
2019-06-13,1560536934,9323,6987,301,245
2019-06-14,1560687616,18083,13891,236,489
2019-06-15,1560687618,12397,9507,282,337
2019-06-16,1561066516,16744,12881,388,459
2019-06-17,1561066517,10947,8290,250,294
2019-06-18,1561529586,15143,11748,171,432
2019-06-19,1561066516,17997,13933,301,529
2019-06-20,1561529634,8710,6485,238,229
2019-06-21,1561529618,13920,10469,473,371
2019-06-22,1561529615,24502,17817,391,595
2019-06-23,1561529621,11221,8375,216,289
2019-06-24,1561529631,12175,9068,337,320
2019-06-25,1561529623,16755,12752,467,449
2019-06-26,1561798129,11965,8770,312,302
2019-06-27,1561798130,17517,12939,336,444
2019-06-28,1561798127,12315,9480,255,346
2019-06-29,1561909944,18659,13841,725,478
2019-06-30,1562346088,15232,11073,228,372
2019-07-01,1562097265,12434,9232,180,316
2019-07-02,1562346106,9426,7129,352,257
2019-07-03,1562346099,15250,11616,288,407
2019-07-04,1562346104,14810,11095,263,385
2019-07-05,1562825718,10261,7680,231,272
2019-07-06,1562825713,21720,16118,300,547
2019-07-07,1562825709,13852,10358,326,360
2019-07-08,1562825707,14182,10708,447,377
2019-07-09,1562825710,12931,9806,325,342
2019-07-10,1562825705,15021,11284,435,395
2019-07-11,1564697032,10919,8214,344,301
2019-07-12,1564697281,11028,8310,320,290
2019-07-13,1564697180,9231,6927,276,242
2019-07-14,1564697170,12882,9700,514,348
2019-07-15,1564697171,20969,15540,642,534
2019-07-16,1564697280,15659,11498,292,391
2019-07-17,1564697282,23999,17718,231,596
2019-07-18,1564697278,26765,19928,197,673
2019-07-19,1564697174,19055,14122,193,478
2019-07-20,1564697181,7291,5299,360,192
2019-07-21,1564697283,27103,19895,469,677
2019-07-22,1564697182,8305,5948,342,211
2019-07-23,1564697172,25415,18415,373,623
2019-07-24,1564697176,18782,13764,305,462
2019-07-25,1564697170,27633,20592,353,711
2019-07-26,1564697179,23053,17004,350,584
2019-07-27,1564697177,31048,23741,697,840
2019-07-28,1564697282,18347,13285,317,448
2019-07-29,1564697178,24969,18267,302,612
2019-07-30,1564697279,22481,16605,397,563
2019-07-31,1564697177,16356,12235,192,425
2019-08-01,1564697179,15430,11645,279,402
2019-08-02,1564949365,11653,8866,214,314
2019-08-03,1564949364,10427,7687,184,261
2019-08-04,1565212948,4692,3477,522,132
2019-08-05,1565212947,19705,14818,288,508
2019-08-06,1565212946,16448,12283,398,416
2019-08-07,1565526895,13915,10518,303,365
2019-08-08,1565526892,9063,6938,268,249
2019-08-09,1565526893,7992,5842,366,203
2019-08-10,1565526897,17776,12940,276,443
2019-08-11,1566768886,12270,8910,239,309
2019-08-12,1566768889,12212,9189,215,315
2019-08-13,1566768892,14166,10527,457,361
2019-08-14,1566768895,10251,7578,214,257
2019-08-15,1566768890,17405,13032,221,440
2019-08-16,1566768899,13895,10101,324,344
2019-08-17,1566768888,12073,8793,215,296
2019-08-18,1566768892,11226,8177,304,285
2019-08-19,1566768896,19239,14390,386,501
2019-08-20,1566768897,22738,16593,334,568
2019-08-21,1566768890,16145,11777,420,406
2019-08-22,1566768893,13842,10078,429,339
2019-08-23,1566768900,19104,14352,316,505
2019-08-24,1566768896,25968,19412,384,665
2019-08-25,1567010222,20953,15632,225,536
2019-08-26,1567010220,18493,13715,302,475
2019-08-27,1567010248,10590,7745,276,265
2019-08-28,1567404319,10606,7753,274,266
2019-08-29,1567404320,10491,7914,289,285
2019-08-30,1567404317,15030,11307,214,398
2019-08-31,1567404318,21473,15664,174,528
2019-09-01,1567404316,22346,16743,140,568
2019-09-02,1567490225,9301,6839,424,246
2019-09-03,1567577630,12977,9752,252,339
2019-09-04,1567716556,8486,6400,198,232
2019-09-05,1567811991,17657,13101,376,454
2019-09-06,1567811992,14680,11102,208,390
2019-09-07,1567938021,12547,9351,402,323
2019-09-08,1568238345,16738,12544,396,435
2019-09-09,1568238348,8501,6341,428,229
2019-09-10,1568238349,15937,11661,291,390
2019-09-11,1568730405,7379,5527,221,195
2019-09-12,1568730409,9107,6737,323,240
2019-09-13,1568730418,10295,7833,299,283
2019-09-14,1568730435,13924,10162,490,356
2019-09-15,1568730443,9920,7149,163,243
2019-09-16,1568730414,9822,7252,398,261
2019-09-17,1568786939,8425,6175,177,219
2019-09-18,1569016586,11177,8311,359,285
2019-09-19,1569016586,12382,9467,212,330
2019-09-20,1569134524,9829,7590,169,273
2019-09-21,1569134525,11891,8713,358,301
2019-09-22,1569220578,17138,12355,319,426
2019-09-23,1569350211,8900,6709,75,232
2019-09-24,1569428298,14577,10803,308,364
2019-09-25,1569478051,12164,9206,360,324
2019-09-26,1569535673,7878,5831,167,211
2019-09-27,1569780419,15917,12045,360,422
2019-09-28,1569780419,21615,16009,349,547
2019-09-29,1570553966,10647,8025,121,275
2019-09-30,1570553940,11103,8397,175,295
2019-10-01,1570553957,11528,8595,236,301
2019-10-02,1570553959,14237,11046,282,394
2019-10-03,1570553962,12480,9651,151,345
2019-10-04,1570553943,12386,9516,254,341
2019-10-05,1570553934,16151,11751,271,394
2019-10-06,1570553929,12971,9640,348,330
2019-10-07,1570553932,12501,9128,175,310
2019-10-08,1571002259,13321,10098,223,355
2019-10-09,1571002261,13570,10445,398,370
2019-10-10,1571002263,14012,10696,253,373
2019-10-11,1571002262,14838,11064,224,373
2019-10-12,1571002260,7341,5519,383,198
2019-10-13,1571006934,6112,4562,209,163
2019-10-14,1571433816,8750,6732,223,243
2019-10-15,1571433816,7752,5902,132,209
2019-10-16,1571433817,12461,9493,206,336
2019-10-17,1571433816,9604,7455,186,263
2019-10-18,1571469752,12002,9369,304,342
2019-10-19,1571778709,12600,9546,444,341
2019-10-20,1571778710,17761,13206,378,464
2019-10-21,1571778710,13406,10379,251,368
2019-10-22,1571949504,11842,9156,290,325
2019-10-23,1571949505,8591,6585,218,230
2019-10-24,1571984801,12534,9742,273,352
2019-10-25,1572076590,14141,10821,306,379
2019-10-26,1572250172,7909,5884,249,208
2019-10-27,1572250173,8715,6202,469,222
2019-10-28,1572323289,16667,12692,239,442
2019-10-29,1572385256,6158,4824,247,191
2019-10-30,1572468643,4882,3784,156,149
2019-10-31,1572557288,3511,2689,216,108
2019-11-01,1572644976,16668,13764,214,572
2019-11-02,1573592789,6925,5256,250,198
2019-11-03,1573592788,25402,18102,220,591
2019-11-04,1573592790,13745,9840,145,326
2019-11-05,1573592789,21148,15265,413,513
2019-11-06,1573592787,19438,14234,284,484
2019-11-07,1573592789,20693,15044,171,508
2019-11-08,1573592787,18874,13762,234,456
2019-11-09,1573592790,9890,7086,315,243
2019-11-10,1573592790,20328,14881,472,508
2019-11-11,1573592791,6868,5210,240,191
2019-11-12,1573680440,15746,11963,248,414
2019-11-13,1574501570,16661,12842,380,461
2019-11-14,1574501548,23335,17826,213,618
2019-11-15,1574501547,19751,15363,370,576
2019-11-16,1574501558,24781,19128,471,696
2019-11-17,1574501560,28353,21873,1366,806
2019-11-18,1574501562,12383,9690,210,349
2019-11-19,1574501566,12967,10113,297,376
2019-11-20,1574501572,14742,11522,275,424
2019-11-21,1574501555,11133,8880,161,331
2019-11-22,1574501551,11943,9379,190,343
2019-11-23,1574586871,13576,10242,232,360
2019-11-24,1574788921,14216,10625,396,370
2019-11-25,1574788922,16296,12595,248,449
2019-11-26,1575208067,12103,9372,256,344
2019-11-27,1575208068,14031,10954,173,399
2019-11-28,1575208069,10847,8541,137,312
2019-11-29,1575208071,17352,13396,262,485
2019-11-30,1575208071,14006,10278,384,357
2019-12-01,1575328708,10551,7918,413,294
2019-12-02,1575328709,13289,10366,321,386
2019-12-03,1575566477,16215,12826,285,487
2019-12-04,1575566476,13064,10308,432,397
2019-12-05,1575674537,12135,9701,301,385
2019-12-06,1575674538,14592,11265,251,404
2019-12-07,1575828164,14256,10870,322,382
2019-12-08,1575885136,5354,4127,131,152
2019-12-09,1575987777,12405,9228,231,325
2019-12-10,1576187664,5737,4504,144,176
2019-12-11,1576187665,12099,9325,216,341
2019-12-12,1576344415,3491,2725,111,109
2019-12-13,1576344416,7870,6195,309,233
2019-12-14,1576400120,6675,5125,277,195
2019-12-15,1576541568,23674,18196,3015,715
2019-12-16,1576573809,6600,5030,280,191
2019-12-17,1576709818,7195,5704,185,211
2019-12-18,1576749427,3812,2912,160,107
2019-12-19,1576837035,8795,6858,939,268
2019-12-20,1576920495,4834,3666,190,139
2019-12-21,1577192383,10332,7901,564,290
2019-12-22,1577192389,10637,8530,2167,364
2019-12-23,1577192392,6529,5067,238,193
2019-12-24,1577367076,7093,5460,196,203
2019-12-25,1577367071,10838,8301,333,303
2019-12-26,1577459425,6965,5555,146,213
2019-12-27,1577492528,12051,9259,222,329
2019-12-28,1577615514,5326,4157,272,154
2019-12-29,1577723890,17479,13695,3060,566
2019-12-30,1577748764,7443,5864,154,215
2019-12-31,1577880221,9065,6872,464,259
2020-01-01,1581550670,3580,2636,161,101
2020-01-02,1581550674,5727,4503,332,169
2020-01-03,1580288696,6467,4889,225,180
2020-01-04,1580288579,14774,11051,201,386
2020-01-05,1580288710,17018,13931,4610,623
2020-01-06,1580288549,6834,5264,119,193
2020-01-07,1580288520,12473,9852,297,366
2020-01-08,1580288586,8237,6475,183,245
2020-01-09,1581550660,4303,3489,112,145
2020-01-10,1580288531,7454,5608,298,207
2020-01-11,1580288727,12215,9248,296,332
2020-01-12,1580288617,24214,19181,3679,774
2020-01-13,1581550671,11494,9049,473,347
2020-01-14,1581550671,9486,7648,231,307
2020-01-15,1580288718,10126,7945,169,302
2020-01-16,1580288582,12141,9410,308,362
2020-01-17,1580288692,17971,14303,2460,596
2020-01-18,1581550675,9536,7459,230,271
2020-01-19,1580288528,20524,15535,3233,610
2020-01-20,1580288630,5260,4065,292,160
2020-01-21,1580288537,8923,6686,313,249
2020-01-22,1580288707,11831,9134,287,351
2020-01-23,1580288553,11394,8934,349,342
2020-01-24,1580288492,5675,4522,157,184
2020-01-25,1580288701,13139,9879,390,354
2020-01-26,1580288723,25652,19874,2935,773
2020-01-27,1581550664,3129,2333,251,94
2020-01-28,1581550661,7212,5612,136,209
2020-01-29,1581550676,12310,9299,203,332
2020-01-30,1581550687,4867,3751,147,137
2020-01-31,1581550686,12848,9639,309,340
2020-02-01,1581550675,12877,9883,562,383
2020-02-02,1581550685,19112,15617,5827,724
2020-02-03,1581550682,8681,6757,188,252
2020-02-04,1583684083,12432,9834,218,370
2020-02-05,1581550676,3643,2738,142,101
2020-02-06,1583684078,15222,11761,242,422
2020-02-07,1581550691,7908,5987,143,211
2020-02-08,1581550692,9251,7202,559,272
2020-02-09,1583684080,14055,11236,4127,507
2020-02-10,1583684055,3892,2948,172,108
2020-02-11,1581550688,9245,7038,468,255
2020-02-12,1583684078,8059,6278,183,229
2020-02-13,1583684089,5831,4425,312,170
2020-02-14,1583684116,16935,12860,347,448
2020-02-15,1583684102,16310,12501,189,455
2020-02-16,1583684096,14365,11202,2053,443
2020-02-17,1583684132,10329,7919,450,291
2020-02-18,1583684195,9968,7894,298,314
2020-02-19,1583684178,13316,10126,169,360
